类别,虚拟机,厂商是否独有,任务视角的故障等级,HAS级别,中文,项目,是有有感,对业务影响,来源,时效,影响,恢复方案,是否客户有感/需要通知客户操作维修,危害等级(云),是否推送事件中心,客户有感case,手动判断方法
PCIe链路,有,否,FATAL,FAIL,通道数掉,LaneDrop,是,业务降速/中断,带内,20s,pcie链路降速,报修，检查PCIe插槽/线缆/重插拔,是,P1,是,,lspci -vvv -s <bus>" | grep -i ""LnkSta:"" 查看当前链路宽度/速度"
PCIe链路,有,否,FATAL,FAIL,带宽掉,BWDrop,是,业务降速,带内,20s,pcie链路降速,报修，检查PCIe插槽/线缆/重插拔,是,P1,是,,lspci -vvv -s <bus>" | grep -i ""LnkSta:"" 查看当前链路宽度/速度"
PCIe链路,有,否,ERROR,FAIL,CPU处理PcieCE耗时异常,CEErrorFFDC,是,系统稳定性风险,带外,24小时,pcie设备CE错误累积,报修，分析FFDC日志定位故障部件,是,P2,是,,"ipmitool sel list | grep -i pcie; dmesg | grep -i ""aer|pcie"""
HDDSSD,无,否,FATAL,FAIL,Smart值告警,SMARTFail_$ID,有,数据丢失风险,带内,2小时,SMART值超过门限,换盘，提前迁移数据,是,P0,是,,SMARTFail_None：smartctl -a /dev/sdx读不到smart信息，可以不修，但会影响监控
HDDSSD,无,否,FATAL,FAIL,硬件故障告警,HardwareError,有,业务中断/数据丢失,带内,2小时,有报hardwareError关键字,换盘，优先迁移数据,是,P0,是,,"dmesg | grep -i ""hardware error|I/O error""; smartctl -H /dev/sdx"
HDDSSD,无,否,FATAL,FAIL,掉盘,Missing,有,业务中断/数据丢失,带内,2小时,掉盘，RAID降级或文件系统异常,换盘，检查背板/线缆/供电,是,P0,是,,"lsblk | grep sd; dmesg | grep -i ""removed|detached""; lsscsi"
HDDSSD,无,否,FATAL,FAIL,盘符不可读,NotReady,有,业务中断,带内,2小时,testready盘符不可读，IO阻塞,换盘，检查文件系统挂载状态,是,P0,是,,blockdev --getsize64 /dev/sdx; fsck -n /dev/sdx; mount | grep sdx
HDDSSD,无,否,FATAL,FAIL,寿命到期,SSDWearOut,有,数据写入失败风险,带内,2小时,寿命到期 小于1%，写入保护或性能骤降,换盘，提前规划数据迁移,是,P0,是,,"smartctl -a /dev/sdx | grep -E ""Percentage Used|Media_Wearout_Indicator"""
HDDSSD,无,否,ERROR,ERROR,媒介告警,FpdmaQueuedFail,有,IO性能下降/数据错误,带内,2小时,有io error且盘smart有error,fa（故障分析），必要时换盘,是,P1,是,,"dmesg | grep -i ""fpdma|queued""; smartctl -l error /dev/sdx"
HDDSSD,无,否,WARN,FAIL,坏块太多,TooMany,无,读写性能下降,带内,2小时,坏块太多，超过阈值,换盘，提前迁移数据,是,P1,是,,"smartctl -l selftest /dev/sdx; dmesg | grep -i ""bad block"""
HDDSSD,无,否,WARN,ERROR,坏块,BadSector,无,读写性能下降/文件系统异常,带内,2小时,/var/log/message有提示error，影响盘的读写性能，也有可能文件系统不可访问,深度格式化，全盘擦除；无效则换盘,是,P1,是,,"dmesg | grep -i ""sector|bad""; badblocks -v /dev/sdx"
HDDSSD,无,否,WARN,ERROR,错告警太大,TooLarge,无,读写性能下降,带内,2小时,/var/log/message有提示error，影响盘的读写性能，也有可能文件系统不可访问,深度格式化，全盘擦除；无效则换盘,是,P1,是,,"dmesg | grep -i ""error""; smartctl -A /dev/sdx | grep -i ""reallocated|pending"""
HDDSSD,无,否,WARN,ERROR,介质错误,MediaError,有,读写性能下降/数据错误,带内,2小时,/var/log/message有提示error，影响盘的读写性能，也有可能文件系统不可访问,深度格式化，全盘擦除；无效则换盘,是,P1,是,,"dmesg | grep -i ""media error""; smartctl -l error /dev/sdx"
HDDSSD,无,否,WARN,ERROR,IO告警,IOError,有,写入变慢/重试增多,带内,2小时,/var/log/message有提示error，有时候写入数据失败，会多次重试，导致写数据会变慢,深度格式化，全盘擦除；无效则换盘,是,P1,是,,"iostat -x 1 | grep sdx; dmesg | grep -i ""I/O error"""
HDDSSD,无,否,WARN,WARN,文件系统错误,FSerror,无,文件系统不可访问风险,带内,2小时,/var/log/message有提示error，影响盘的读写性能，也有可能文件系统不可访问,快速格式化，重做文件系统；无效则换盘,是,P2,是,,"dmesg | grep -i ""ext4|xfs.*error""; fsck -n /dev/sdx"
HDDSSD,无,否,WARN,WARN,掉盘,HddAssetMissing,有,容量减少/RAID降级,带内,2小时,硬盘数量少于资产记录数量,查看硬盘数量是否少于资产数量，若少，检查丢失的硬盘,是,P1,是,,"lsscsi | wc -l; dmidecode -t 17 | grep -c ""Size.*GB"""
HDDSSD,无,否,WARN,WARN,飘盘,floated,无,挂载点不可用,带内,2小时,挂载点不可用,使用uuid挂载挂载点；has提示飘盘时重新umount和mount,是,P2,是,,mount | grep sdx; blkid /dev/sdx; cat /etc/fstab
HDDSSD,无,否,WARN,WARN,进程僵尸,DStatus,无,IO阻塞/进程卡死,带内,2小时,存储设备因 IO得不到及时响应，有进程D状态,关注，排查IO瓶颈或硬件故障,是,P2,是,,"ps aux | awk '$8==""D""'; iostat -x 1; pidstat -d 1"
NVMe,有,否,FATAL,FAIL,Nvme严重错误,NvmeCritalErr,有,业务中断/数据丢失,带内,2小时,smart报Critical error,换盘，提前迁移数据,是,P0,是,,"smartctl -a /dev/nvme0 | grep -i ""critical_warning""; nvme smart-log /dev/nvme0"
NVMe,有,否,FATAL,FAIL,Nvme媒介错误,NvmeMediaErr,有,数据错误/业务中断,带内,2小时,smart有Media error计数,换盘，提前迁移数据,是,P0,是,,smartctl -a /dev/nvme0 | grep Media; nvme error-log /dev/nvme0 (smartctl需要不低于7.0版本)
NVMe,有,否,FATAL,FAIL,Nvme掉盘,NvmeMissing,有,业务中断/数据丢失,带内,2小时,掉盘，设备从系统消失,换盘，检查背板/线缆/供电,是,P0,是,,"lsblk | grep nvme; dmesg | grep -i ""nvme.*removed""; lspci | grep -i nvme"
NVMe,有,否,FATAL,FAIL,Nvme寿命到期,NvmeWearOut,无,写入保护/性能骤降,带内,2小时,寿命到期 小于1%,换盘，提前规划数据迁移,是,P0,是,,"nvme smart-log /dev/nvme0 | grep -i ""percentage_used|available_spare"""
NVMe,有,否,WARN,WARN,IO告警,NVMEIOError,无,IO性能下降,带内,2小时,/var/log/messages有故障日志,快速格式化，重做文件系统；无效则换盘,是,P2,是,,"dmesg | grep -i ""nvme.*error""; nvme smart-log /dev/nvme0"
NVMe,无,否,WARN,ERROR,读不到盘属性,NvmeSmartFail,无,监控缺失，不影响盘使用,带内,2小时,盘不能读smart信息，不影响盘使用,关注，需换件（厂商策略）,是，统计下线上情况,P2,是,,smartctl -a /dev/nvme0，NVME盘读不到smart信息厂商不给换
NVMe,无,否,WARN,WARN,ScaleFlux盘可用空间不足,NvmeLowFreeSpace,无,写入失败风险,带内,2小时,可用空间不足<5%，应立刻停止写入，考虑迁移数据，恢复可用空间,迁移数据，清理空间,是,P2,是,,"nvme list; df -h /dev/nvme0n1; nvme smart-log /dev/nvme0 | grep -i ""available_spare"""
NVMe,有,否,WARN,WARN,Block Size不一致,BlockSizeErr,无,性能异常/兼容性问题,带内,2小时,块大小配置不一致,参考KB文档修复配置：https://ku.baidu-int.com/knowledge/HFVrC7hq1Q/pKzJfZczuc/gSrSmFc-oo/6d9T4ximkws5ga,是,P2,是,,cat /sys/bus/pci/devices/0000:af:00.0/nvme/nvme0/nvme0n1/queue/physical_block_size
NVMe,有,否,WARN,WARN,文件系统错误,FSerror,无,文件系统不可访问风险,带内,2小时,/var/log/messages有故障日志,快速格式化，重做文件系统；无效则换盘,是,P2,是,,"dmesg | grep -i ""ext4|xfs.*error""; fsck -n /dev/nvme0n1"
NVMe,无,否,WARN,WARN,僵尸进程,NvmeDstatus,无,IO阻塞/进程卡死,带内,2小时,存储设备因 IO得不到及时响应，有进程D状态,关注，排查IO瓶颈或硬件故障,是，统计下线上情况,P2,是,,"ps aux | awk '$8==""D""' | grep nvme; iostat -x 1 | grep nvme"
GPU,有,否,FATAL,FAIL,GPU掉卡,Missing,有,中断,带内,20s,从PCIe总线掉卡，lspci看不到卡,换卡，检查PCIe插槽/供电/重插拔,是,P0,是,,"lspci | grep -i nvidia; nvidia-smi; dmesg | grep -i ""nvidia.*removed"""
GPU,有,否,FATAL,FAIL,PCI配置读写失败,PciHeader,有,中断,带内,20s,lspci读不到GPU的配置空间，显示rev ff,换卡，检查PCIe插槽/重插拔,是,P0,是,,lspci -vvv -s <bus>" | grep -i ""rev""; setpci -s "<bus> CAP_EXP+12.L
GPU,有,否,FATAL,FAIL,PCI地址不可访问,GPUPanic,有,中断,带内,20s,GPU在PCIe bus上，PCIe地址不可访问,换卡，检查PCIe插槽/供电,是,P0,是,,lspci -vvv -s <bus>"; nvidia-smi; dmesg | grep -i ""nvidia.*panic"""
GPU,有,否,FATAL,FAIL,GPU卡高温告警,GpuHighTemperature,有,中断,带内,20s,温度超nv的门限(NVML_TEMPERATURE_THRESHOLD_SLOWDOWN),换卡，检查散热/风扇/机房温度,是,P0,是,,"nvidia-smi -q | grep -A 5 ""Temperature""; nvidia-smi -q -d TEMPERATURE"
GPU,有,否,FATAL,ERROR,内存双数据位错误,EccError,有,中断,带内,20s,显存出现Uncorrectable Error,重启机器；持续发生则换卡,是,P0,是,,"nvidia-smi -q -d ECC; nvidia-smi -q | grep -i ""uncorrectable"""
GPU,有,否,ERROR,ERROR,GPU掉带宽,GpusBusErr,有,影响性能,带内,20s,链接带宽低于x16,重启机器；检查PCIe插槽/重插拔,是,P1,是,,nvidia-smi topo -m; lspci -vvv -s <bus>" | grep -i ""LnkSta:"""
GPU,有,否,ERROR,ERROR,GPU功耗告警,PowerError,有,业务中断,带内,20s,读不到功耗，卡无法使用,重启机器；检查供电/换卡,是,P0,是,,"nvidia-smi -q -d POWER; dmesg | grep -i ""nvidia.*power"""
GPU,有,否,ERROR,ERROR,GPU驱动无法访问（属于软件问题）,DriverError,有,可能中断,带内,20s,驱动故障，导致has无法检测,重启机器；P800需要升级驱动；重装驱动,是,P1,是,,"nvidia-smi; lsmod | grep nvidia; dmesg | grep -i ""nvidia.*error"""
GPU,有,否,WARN,WARN,PCIe设备Link Down,PcieLinkDown,有,无法启动虚机,带内,20s,PCIe Link Down，卡无法识别，虚拟机无法重启,暂未确定，可能会自动恢复；检查PCIe连接,否,P2,是,,lspci -vvv -s <bus>" | grep -i ""LnkSta:""; dmesg | grep -i ""pcie.*link.*down"""
GPU,有,否,WARN,WARN,PCIe设备Bus Error,PCIeBusError,无,暂未确定,带内,20s,PCIe Bus Error，暂未确定,暂未确定；关注日志，必要时报修,否,P2,是,,"dmesg | grep -i ""aer|pcie.*error""; lspci -vvv -s "<bus>
GPU,有,否,WARN,WARN,内存错误校验未打开,EccDisabled,无,无,带内,20s,ECC未使能，存在数据静默错误风险,nvidia-smi -e 1 然后重启机器,否,P2,是,,"nvidia-smi -q -d ECC | grep ""ECC Mode""; nvidia-smi -e 1"
GPU,有,否,WARN,WARN,Ecc single bit增速过快（单次增长超1000w）,EccGrowthRateError,无,无,带内,20s,ECC单比特错误增长过快，存在硬件隐患,关注，持续发生则换卡,否,P2,是,,"nvidia-smi -q -d ECC | grep -i ""single""; watch -n 60 'nvidia-smi -q -d ECC'"
GPU,有,否,WARN,WARN,卡没有挂载驱动,NoDriver,有,无,带内,20s,卡无驱动无法使用，但云机器idle状态就是无驱动状态,关注，业务需要时加载驱动,否,P2,是,,ll /sys/bus/pci/devices/<bus>/driver 文件不存在; lsmod | grep nvidia
GPU,有,昆仑P800,FATAL,FAIL,内存双数据位错误（重启不可恢复）,EccSevereError,有,中断,带内,20s,显存出现Uncorrectable Error，标准：<br>Aggregate>1：ECCSeverreError<br>Volatile=1，且开机天数少于70：ECCSeverreError<br>Volatile=1，且开机天数超过70：ECCError,wget http://has-master-a.sdns.baidu.com/download/gputools/diag/diagdbe.py && python diagdbe.py 查看维修建议，根据建议升级驱动或换卡,是,P0,是,,xpu-smi query -i <id> -t ecc; diagdbe.py脚本分析
GPU,有,昆仑P800,WARN,WARN,TDP引起的xid2（温度功率异常）1min超20次,TDPXid2,无,无,带内,20s,降频保护，性能下降,无需处理，环境恢复后自动恢复；优化散热,否,P2,是,,xpu-smi query -i <id> -t temperature; xpu-smi query -i <id> -t power
GPU,有,昆仑P800,FATAL,FAIL,HBM引起的xid2（温度功率异常）1min超10次,HBMXid2,有,中断,带内,20s,HBM温度异常导致降频/中断,换卡，检查散热/机房温度,是,P0,是,,xpu-smi query -i <id> -t hbm_temp; xpu-smi query -i <id> -t error
GPU,有,昆仑,WARN,WARN,昆仑卡流处理器执行过程中出现读写冲突,SmRwConflict,无,无,带内,20s,已集成到xid中，为算子问题，需要升级算子问题解决<br>继续运行会出现loss跑飞,无需处理（等昆仑升级算子）；升级算子版本,否,P2,是,,xpu-smi query -i <id> -t error; 查看任务日志中的xid记录
GPU,有,昆仑P800,ERROR,ERROR,wait_for_noc_idle(timeout),NocTimeout,有,中断,带内,20s,NoC通信超时，会中断业务,默认重启机器;部分会拉曹太强确认需不需要换卡,是,P0,是,,xpu-smi query -i <id>" -t noc; dmesg | grep -i ""noc.*timeout"""
GPU,有,昆仑P800,ERROR,ERROR,noctimeout预判,NocTimeoutSeqNum,有,中断,带内,20s,继续执行，可能会出现NocTimeout故障,重启机器；关注序列号异常增长,是,P1,是,,xpu-smi query -i <id> -t noc_seq; 监控noc序列号变化
GPU,有,昆仑P800,FATAL,FAIL,昆仑卡link不正常,XlinkInactive,有,降速,带内,20s,Xlink链路失活，卡间通信降速,换卡，检查Xlink线缆/重插拔,是,P0,是,,xpu-smi xpulink -s; xpu-smi query -i <id> -t xpulink
GPU,有,昆仑P800,ERROR,ERROR,无法读取昆仑卡温度,TemperatureError,有,降速,带内,20s,温度监控失效，可能触发保护降频,重启机器；检查传感器/换卡,是,P1,是,,xpu-smi -q | grep Temp; xpu-smi query -i <id> -t temperature
GPU,有,昆仑,ERROR,ERROR,昆仑卡微码错误异常,StateExpection,有,中断,带内,20s,任务异常退出，微码执行异常,重启机器；升级微码/换卡,是,P0,是,,xpu-smi query -i <id>" -t firmware; dmesg | grep -i ""kunlun.*error"""
GPU,有,昆仑,ERROR,ERROR,昆仑卡状态错误异常,StateError,有,中断,带内,20s,任务异常退出，卡状态异常,重启机器；检查任务/换卡,是,P0,是,,xpu-smi query -i <id> -t status; xpu-smi query -i <id> -t error
GPU,有,昆仑,FATAL,FAIL,kernel异常，cluster/sdnn运行触发异常,Xid0,有,中断,带内,20s,20s检测一次，同一张卡连续出现3次<br>KL_XID_KERNEL_EXCEPTION,换卡<br>1. 如果和Xid1同时出现，优先排查Xid1问题。<br>2. 排查异常kernel代码编写问题，详见XTDK Developer Guide。,是,P0,是,,xpu-smi query -i <id>" -t xid; dmesg | grep -i ""xid.*0"""
GPU,有,昆仑,ERROR,ERROR,昆仑卡ECC错误,Xid1,有,中断,带内,20s,KL_XID_GDDR_ECC，gddr异常，ecc uncorrected error，计算结果有问题,修复后压测，出现DBE，换卡；nvidia-smi --reset-ecc-errors=1,是,P0,是,,xpu-smi query -i <id> -t xid; xpu-smi query -i <id> -t ecc
GPU,有,昆仑,WARN,WARN,昆仑卡温度功率异常,Xid2,无,无,带内,20s,KL_XID_DOWN_UP_CLOCKING，温度或功率异常，自动降频,无需处理，严重故障会报TDPXid2、HBMXid2<br>重启机器。该异常能够等环境恢复后自动恢复，视情况排查机箱散热设计，优化散热通道,否,P2,是,,xpu-smi query -i <id> -t xid; xpu-smi query -i <id> -t temperature -t power
GPU,有,昆仑,ERROR,ERROR,昆仑卡SSE异常,Xid3,有,中断,带内,20s,KL_XID_SSE_EXCEPTION，给sse（硬件的调度模块）的描述符有异常，会中断业务,重启机器；检查任务描述符/换卡,是,P0,是,,xpu-smi query -i <id>" -t xid; dmesg | grep -i ""xid.*3"""
GPU,有,昆仑,FATAL,FAIL,昆仑卡显存发生多bitECC错误,Xid4,有,中断,带内,62,KL_XID_DOUBLE_BIT_ECC，显存发生多bitECC错误，计算结果有问题,换卡<br>修复后压测，出现DBE，换卡,是,P0,是,,xpu-smi query -i <id> -t xid; xpu-smi query -i <id> -t ecc
GPU,有,昆仑,WARN,WARN,显存发生single bit ecc,Xid5,无,无,带内,20s,KL_XID_SINGLE_BIT_ECC,无需处理<br>1. 如果偶现单次异常，可忽略。<br>2. 如果出现达到一定概率，且伴随出现Xid 0异常，需要进一步处理。,否,P2,是,,xpu-smi query -i <id> -t xid; xpu-smi query -i <id> -t ecc
GPU,有,昆仑,WARN,WARN,昆仑卡C2C连接触发事件,Xid6,无,无,带内,20s,C2C连接触发事件（k-link single-bit错误超过一定阈值）,无需处理；持续发生则检查C2C线缆,否,P2,是,,xpu-smi query -i <id> -t xid; xpu-smi xpulink -s
GPU,有,昆仑,WARN,WARN,昆仑卡Xid告警,Xid***,无,无,带内,20s,kernel异常，cluster/sdnn运行异常,无需处理；参考XID文档排查,否,P2,是,,xpu-smi query -i <id> -t xid; 参考昆仑XID错误码文档
GPU,有,NVIDIA,FATAL,FAIL,行重映射失败,RemappingFailed,有,中断,带内,20s,Remapping失败，替换正常内存块失败,换卡；nvidia-smi --reset-ecc-errors=1后压测验证,是,P0,是,,"nvidia-smi -q | grep -A 10 ""Retired Pages"" | grep ""Remapping Failure"""
GPU,有,NVIDIA,FATAL,FAIL,内存校验超过门限,EccLimitExceeded,有,中断,带内,20s,SRAM 累积DBE > 4<br>或者<br>SRAM Threshold Exceeded=yes,换卡（若卡实在紧张，且压测可过，可执行nvidia-smi --reset-ecc-errors=1 -g <gpu编号(从0开始计)>后执行pkill -f has/hdoctor/check/logcheck;rm <has根目录>/haslog/hdoctor/log/gpu.json命令清除）,是,P0,是,,nvidia-smi -q | grep -E 'SRAM Uncorrectable|SRAM Threshold'
GPU,有,NVIDIA,FATAL,FAIL,NVLink的links数量减少,LinksNumError,有,降速,带内,20s,GPU通讯降速，NVLink拓扑异常,重新插拔nvlink桥接器；检查NVLink线缆,是,P0,是,,nvidia-smi topo -m; nvidia-smi nvlink -s
GPU,有,NVIDIA,FATAL,FAIL,GPU与网卡链接类型错误,GPU-NICConnError,有,降速,带内,20s,GPU与外部通讯速度降低，RDMA性能异常,检查与GPU直连的RDMA网卡位置是否插错，如果网卡插错位置，则插到正确位置；<br>如果未插错位置，则更换该GPU的RDMA网卡,是,P0,是,,nvidia-smi topo -m; lspci -tv | grep -A5 -B5 nvidia
GPU,有,NVIDIA,ERROR,ERROR,GPU驱动读不到卡,RmInitAdapterFailed,有,中断,带内,20s,GPU在PCIe bus上，nvidia-smi识别不到卡,重启机器；重装驱动；检查PCIe连接,是,P0,是,,"nvidia-smi; dmesg | grep -i ""nvidia.*init|rmInitAdapter"""
GPU,有,NVIDIA,ERROR,ERROR,GPU互联通信链路错误（SYS或NODE方式链接）,NvLinkError,有,降速,带内,20s,GPU间通信速度降低，NVLink报错,升级驱动（临时解决方案：执行nvidia-smi -r，等待1min执行 nvidia-smi topo -m 查看是否修复(GPU间无SYS或NODE链接)，若未修复重复执行该命令）,是,P1,是,,"nvidia-smi topo -m; nvidia-smi nvlink -e; dmesg | grep -i ""nvlink.*error"""
GPU,有,NVIDIA,ERROR,ERROR,GPU互联链路告警,NVSW<n>-<sxid>,有,降速,带内,20s,nvlink报错，NVSwitch事件,重启机器；升级NVSwitch固件/驱动,是,P1,是,,"nvidia-smi nvlink -s; dmesg | grep -i ""nvswitch|sxid"""
GPU,有,NVIDIA,ERROR,ERROR,GPU互联服务异常,FabricManagerNotRunning,有,降速,带内,20s,服务未启动，nvlink无法工作,启动fabricmanager服务：systemctl start nvidia-fabricmanager; 检查nvswitch状态,是,P1,是,,systemctl is-active nvidia-fabricmanager; systemctl status nvidia-fabricmanager
GPU,有,NVIDIA,ERROR,ERROR,GPU互联中断,NvlinkInactive,有,中断,带内,20s,nvlink失活，GPU间通信中断,重启机器；检查NVLink线缆/重插拔,是,P0,是,,"nvidia-smi nvlink -s | grep -i ""inactive""; nvidia-smi topo -m"
GPU,有,NVIDIA,ERROR,ERROR,驱动为nouveau,NvNouveau,有,无法使用GPU,带内,20s,驱动为nouveau，需安装nvidia驱动才能正常使用,安装nvidia驱动；blacklist nouveau后重启,是,P1,是,,lsmod | grep nouveau; nvidia-smi (报错提示nouveau)
GPU,有,NVIDIA,WARN,WARN,掉NVSwitch,NvSwitchNumError,待定,待定,带内,20s,降速，NVSwitch拓扑异常,待定；检查NVSwitch供电/连接/重插拔,待定,P1,是,,lspci | grep -i nvidia | grep -i switch; nvidia-smi topo -m
GPU,有,NVIDIA,WARN,WARN,软件热降速,SwThermalSlowdown,待定,待定,带内,20s,软件热降速已启动，以确保GPU和HBM温度不超过各自最大工作温度,待定；检查散热/机房温度/优化任务负载,待定,P2,是,,nvidia-smi -q | grep -A 10 -E 'Clocks Throttle Reasons|Clocks Event Reasons'
