类别,虚拟机,厂商是否独有,任务视角的故障等级,HAS级别,中文,项目,是有有感,对业务影响,来源,时效,影响,恢复方案,是否客户有感/需要通知客户操作维修,危害等级(云),是否推送事件中心,客户有感case,手动判断方法
网卡,无,否,ERROR,ERROR,端口down超过1分钟（开机30min内端口down超过5分钟）,NetLinkDown,有,网络中断,带内,20s,链路down，业务流量中断,报修。换线或清理光模块；检查对端设备,是,P0,是,,ethtool <nic>" | grep ""Link detected""; ip link show "<nic>"; dmesg | grep -i ""link.*down"""
网卡,无,否,ERROR,ERROR,每天抖动 >3次（开机30min内的抖动不检测）,NicLinkFlutter,有,网络闪断/丢包,带内,20s,链路频繁up/down，业务不稳定,报修。换线或清理光模块；检查光功率/线缆质量,是,P1,是,,ethtool -S <nic>" | grep -i ""link.*change""; dmesg | grep -i ""link.*up|link.*down"" | wc -l"
网卡,无,否,ERROR,ERROR,协商速度达不到标称速度,NicSpeedLow,有,带宽不足/性能下降,带内,20s,链路协商速率低于标称值，吞吐量受限,报修。插拔网卡；检查线缆/对端配置/驱动,是,P1,是,,ethtool <nic>" | grep ""Speed:""; ethtool "<nic>" | grep ""Advertised link modes"""
网卡,无,否,FATAL,FAIL,网卡通道数量未到支持的最大值,NicBusErr_BW,有,降速,带内,20s,PCIe通道数不足，网卡带宽受限,报修。插拔网卡；检查PCIe插槽/BIOS设置,是,P1,是,,lspci -vvv -s <bus>" | grep -i ""LnkSta:""; ethtool -i "<nic> | grep bus-info
网卡,无,否,FATAL,FAIL,网卡带宽未到支持的最大值,NicBusErr_SP,有,降速,带内,20s,PCIe链路速率不足，网卡带宽受限,报修。插拔网卡；检查PCIe插槽/驱动/固件,是,P1,是,,lspci -vvv -s <bus>" | grep -i ""LnkSta:""; ethtool "<nic>" | grep ""Speed:"""
网卡,无,否,ERROR,ERROR,两种情况都会报（每次采集间隔1min）：<br>持续性CRC错误：一天月内出现3次以上CRC报错<br>严重CRC错误风暴：单次采集超过1000个CRC报错,NICCRC,有,丢包/重传/性能下降,带内,20s,CRC错误导致数据包校验失败，业务丢包,报修。换线或清理光模块；检查光功率/线缆质量/对端设备,是,P1,是,,ethtool -S <nic>" | grep -i ""crc|fcs""; watch -n 60 'ethtool -S "<nic> | grep crc'
网卡,无,否,ERROR,ERROR,自适应路由未开启,NicAdRtDis(H800),有,RDMA性能下降,带内,20s,自适应路由未启用，多路径负载均衡失效,执行以下命令开启自适应路由：<br>CentOs系统：service rdma restart<br>Ubuntu系统：systemctl restart rdma,是,P1,是,,ibdev2netdev; ibstatus; cat /sys/class/infiniband//ports//gids/0_type
网卡,无,否,ERROR,ERROR,Firmware版本不符合要求,NicFWVerErr(SCI),有,兼容性/稳定性风险,带内,20s,固件版本不匹配，可能存在已知bug,SCI机器要求Firmware版本为22.35.2302，只检查xgbe0与xgbe1；升级固件,是,P1,是,,ethtool -i <nic> | grep firmware; 对比版本要求文档
网卡,无,否,ERROR,ERROR,MTU不符合要求,NicMTUErr(SCI),有,网络性能/兼容性问题,带内,20s,MTU配置不一致，可能导致分片/丢包,SCI机器要求MTU设置为4200；ip link set <nic> mtu 4200,是,P1,是,,ip link show <nic> | grep mtu; ethtool <nic>" | grep ""Maximum MTU"""
网卡,无,否,ERROR,ERROR,IP地址不唯一（只有SCI采集）,NicNonSingleIpErr(SCI),有,IP冲突/网络异常,带内,20s,同一网段存在重复IP，导致网络冲突,关注；检查DHCP配置/静态IP分配/ARP表,是,P1,是,,ip a show <nic>; arp -n | grep <ip>; tcpdump -i <nic> arp
网卡,无,否,WARN,WARN,端口down且端口未启用,NicNotUsed,无,无,带内,20s,端口为down状态，但业务不使用该端口，理论对业务无影响,如果业务需要使用该端口，检查是否是未插线缆或线缆松动,否,P2,是,,ethtool -m 网口名 | grep Link; ip a # 查看对应网口是否有ip; cat /sys/class/net/网口名/flags # 第0位为1表示已启用
网卡,无,否,WARN,WARN,端口down且端口已启用,NicStatusErr,无,业务中断风险,带内,20s,端口为down状态，且存在IP、端口为启用状态，可能对业务有影响,如果业务需要使用该端口，检查是否是未插线缆或线缆松动,否,P2,是,,ethtool -m 网口名 | grep Link; ip a # 查看对应网口是否有ip; cat /sys/class/net/网口名/flags # 第0位为1表示已启用
网卡,无,否,WARN,WARN,高温,NicHighTemp,有,网卡降频/故障风险,带内,20s,网卡温度过高，可能触发保护降频,关注；检查机房温度/散热/风扇,否,P2,是,,ethtool -m <nic>" | grep -i ""temperature""; sensors; ipmitool sensor | grep -i ""nic.*temp"""
网卡,无,否,WARN,WARN,掉网卡,NicAssetMissing,有,网络中断/容量减少,带内,20s,网卡数量少于资产记录数量,查看网卡数量是否少于资产数量，若少，检查丢失的网卡/重插拔,否,P1,是,,"lspci | grep -iE 'Eth|Inf' | grep 00.0; lshw -C network; dmidecode -t system | grep -i ""asset"""
网卡,无,否,GOOD,GOOD,出光功率过高或过低,tx_power_is_low_alarm <br>tx_power_is_high_alarm<br>tx_power_is_low_warning<br>tx_power_is_high_warning,无,链路质量风险,带内,12h,光模块发射功率异常，可能影响链路稳定性,换线或清理光模块（确定有感情况下）；检查光模块健康度,否,P2,是,,ethtool -m <nic>" | grep -E ""Tx Power|Laser tx power""; 对比光模块规格书"
网卡,无,否,GOOD,GOOD,入光功率过高或过低,rx_power_is_low_alarm<br>rx_power_is_high_alarm<br>rx_power_is_low_warning<br>rx_power_is_high_warning,无,链路质量风险,带内,12h,光模块接收功率异常，可能影响链路稳定性,换线或清理光模块（确定有感情况下）；检查对端发射功率/光纤损耗,否,P2,是,,ethtool -m <nic>" | grep -E ""Rx Power|Laser rx power""; 对比光模块规格书"
网卡,无,否,GOOD,GOOD,电压过高或过低,voltage_is_low_alarm<br>voltage_is_high_alarm<br>voltage_is_low_warning<br>voltage_is_high_warning,无,硬件稳定性风险,带内,12h,光模块供电电压异常，可能影响模块工作,关注；检查电源/背板供电/更换光模块,否,P2,是,,ethtool -m <nic>" | grep -i ""voltage""; 对比光模块规格书"
网卡,无,否,GOOD,GOOD,温度过高或过低,temperature_is_low_alarm<br>temperature_is_high_alarm<br>temperature_is_low_warning<br>temperature_is_high_warning,无,硬件稳定性风险,带内,12h,光模块温度异常，可能影响性能/寿命,关注；检查机房温度/散热/更换光模块,否,P2,是,,ethtool -m <nic>" | grep -i ""temperature""; 对比光模块规格书"
温度,无,否,WARN,WARN,,UpperNoncriticalgoinglow,无,无,带外,15分,温度从非临界高值下降，正常恢复过程,关注；确认温度趋势是否正常,否,P2,是,,"ipmitool sensor | grep -i ""temp""; sensors; 监控温度历史曲线"
温度,无,否,WARN,WARN,,UpperCriticalgoinghigh,无,降频/关机风险,带外,15分,超温-严重，达到Critical阈值,关注；检查散热/风扇/机房温度/优化负载,否,P1,是,【POC】车和家仿真7w83 ebc测试,"ipmitool sensor | grep -i ""critical.*temp""; sensors; ipmitool sel list | grep -i ""thermal"""
温度,无,否,WARN,WARN,,UpperCriticalgoinglow,无,无,带外,15分,温度从临界高值下降，保护恢复过程,关注；确认温度是否稳定在安全范围,否,P2,是,,"ipmitool sensor | grep -i ""temp""; 监控温度历史曲线"
温度,无,否,WARN,WARN,,UpperNoncriticalgoinghigh,无,性能下降风险,带外,15分,超温-中度，达到Non-critical阈值,关注；检查散热/风扇/机房温度,否,P2,是,,"ipmitool sensor | grep -i ""noncritical.*temp""; sensors; 监控温度趋势"
风扇,无,否,FATAL,FAIL,,DeviceAbsent,无,散热失效风险,带外,15分,风扇不在位，机箱散热能力下降,换件；检查风扇插槽/供电/重插拔,是,P0,是,,"ipmitool sensor | grep -i ""fan.*absent""; ipmitool sel list | grep -i ""fan.*missing"""
风扇,无,否,WARN,WARN,,LowerCriticalgoinglow,无,散热不足风险,带外,15分,Fan转速过低-严重，低于Critical阈值,关注；检查风扇/供电/控制策略；必要时换件,是,P1,是,,"ipmitool sensor | grep -i ""fan.*critical""; ipmitool sel list | grep -i ""fan.*low"""
风扇,无,否,WARN,WARN,,LowerNoncriticalgoinghigh,无,无,带外,15分,风扇转速从非临界低值上升，正常恢复过程,关注；确认转速趋势是否正常,否,P2,是,,"ipmitool sensor | grep -i ""fan""; 监控转速历史曲线"
风扇,无,否,WARN,WARN,,LowerNoncriticalgoinglow,无,散热不足风险,带外,15分,Fan转速过低-中度，低于Non-critical阈值,关注；检查风扇/供电/控制策略,是,P2,是,,"ipmitool sensor | grep -i ""fan.*noncritical""; 监控转速趋势"
风扇,无,否,WARN,WARN,,LowerNonrecoverablegoinglow,无,散热失效风险,带外,15分,风扇转速低于不可恢复阈值，散热严重不足,关注；立即检查风扇/供电；必要时停机保护,否,P1,是,,"ipmitool sensor | grep -i ""fan.*nonrecoverable""; ipmitool sel list | grep -i ""fan.*fail"""
电源,无,否,ERROR,ERROR,,RedundancyDegraded,无,冗余丢失风险,带外,15分,电源冗余降级，单电源故障将导致宕机,关注；检查电源模块/供电线路；及时更换故障电源,统计看下，暂无计入,P1,是,,"ipmitool sensor | grep -i ""psu.*redundancy""; ipmitool sel list | grep -i ""redundancy"""
电源,无,否,ERROR/WARN,ERROR,,PowerSupplyAClost,无,电源告警,带外,15分,电源告警，AC输入丢失,关注（电源告警一般会有现场巡检，异常电源会进行在线电源模块插拔恢复，若恢复不了，则发起报修）,统计看下，暂无计入,P1,是,,"ipmitool sensor | grep -i ""psu.*ac""; ipmitool sel list | grep -i ""ac.*lost"""
电源,无,否,FATAL,FAIL,,Failuredetected,无,电源故障,带外,15分,电源故障，模块失效,换件；检查供电线路/电源模块,统计看下，暂无计入,P0,是,,"ipmitool sensor | grep -i ""psu.*fail""; ipmitool sel list | grep -i ""power.*fail"""
电源,无,否,ERROR,ERROR,,PowerSupplyInactive,无,冗余丢失风险,带外,15分,电源进入冷备份状态触发此日志,关注（电源告警一般会有现场巡检，异常电源会进行在线电源模块插拔恢复，若恢复不了，则发起报修）,统计看下，暂无计入,P1,是,,"ipmitool sensor | grep -i ""psu.*inactive""; ipmitool sel list | grep -i ""power.*inactive"""
电源,无,否,ERROR,ERROR,,Predictivefailure,无,电源故障预警,带外,15分,PSU故障预警，模块即将失效,关注；提前准备备件，计划更换,统计看下，暂无计入,P1,是,,"ipmitool sel list | grep -i ""predictive""; ipmitool sensor | grep -i ""psu.*warn"""
电源,无,否,ERROR,ERROR,,AClostoroutofrange,无,电源告警(因输入电压过低导致的电源关闭),带外,15分,电源告警，AC输入电压异常,关注；检查机房供电/PDU/UPS,统计看下，暂无计入,P1,是,,"ipmitool sensor | grep -i ""psu.*voltage""; ipmitool sel list | grep -i ""ac.*range"""
电源,无,否,ERROR,ERROR,,ACoutofrangebutpresent,无,电源告警 (输入过压故障，输入低压故障),带外,15分,电源告警，AC输入电压超限但仍在位,关注；检查机房供电/PDU/UPS；联系电力部门,统计看下，暂无计入,P1,是,,"ipmitool sensor | grep -i ""psu.*voltage""; ipmitool sel list | grep -i ""ac.*out.*range"""
电源,无,否,ERROR,ERROR,,RedundancyLost,无,冗余丢失,带外,15分,电源冗余完全丢失，单点故障风险,关注；立即检查电源模块/供电线路；及时恢复冗余,统计看下，暂无计入,P0,是,,"ipmitool sensor | grep -i ""psu.*redundancy.*lost""; ipmitool sel list | grep -i ""redundancy.*lost"""
主板,无,否,FATAL,FAIL,,BusUncorrectableerror,有,系统宕机,带外,15分,BUS 不可纠正错误，主板总线硬件故障,换件；分析SEL/MCE日志定位故障部件,是,P1,是,,"ipmitool sel list | grep -i ""bus.*uncorrectable""; dmesg | grep -i ""mce.*bus"""
主板,无,否,FATAL,FAIL,,BusFatalError,有,系统宕机,带外,15分,BUS Fatal 错误，主板总线严重故障,换件；分析SEL日志/联系厂商,是,P1,是,,"ipmitool sel list | grep -i ""bus.*fatal""; BIOS日志"
主板,无,否,FATAL,FAIL,,PCIPERR,有,系统宕机,带外,15分,PCIE 中断触发，PCIe总线奇偶校验错误,换件；检查PCIe设备/重插拔/更新固件,是,P0,是,,"ipmitool sel list | grep -i ""pci.*perr""; dmesg | grep -i ""aer.*perr"""
主板,无,否,FATAL,FAIL,,PCISERR,有,系统宕机,带外,15分,PCIe系统错误，严重总线故障,换件；分析AER/MCE日志,是,P0,是,,"ipmitool sel list | grep -i ""pci.*serr""; dmesg | grep -i ""aer.*serr"""
主板,无,否,FATAL,FAIL,,SMBIOSUncorrectableCPU-complexError,有,系统宕机,带外,15分,CPU子系统不可纠正错误，主板/CPU故障,换件；分析SEL/dmidecode日志,是,P0,是,,"ipmitool sel list | grep -i ""cpu-complex""; dmidecode -t processor"
主板,无,否,FATAL,FAIL,,UnrecoverableIDEdevicefailure,有,系统无法启动,带外,15分,IDE设备不可恢复故障，启动盘异常,换件；检查SATA/SAS线缆/更换启动盘,是,P0,是,,"ipmitool sel list | grep -i ""ide.*fail""; dmesg | grep -i ""ata.*error"""
主板,无,否,FATAL,FAIL,,Undeterminedsystemhardwarefailure,有,系统宕机,带外,15分,不确定的硬件故障，系统级异常,换件；全面分析SEL/BIOS/OS日志,是,P0,是,,"ipmitool sel list; BIOS日志; dmesg | grep -i ""hardware.*fail"""
主板,无,否,FATAL,FAIL,,Unrecoverablesystemboardfailure,有,系统宕机,带外,15分,不可恢复的主板故障，主板硬件失效,换件；联系厂商支持,是,P0,是,,"ipmitool sel list | grep -i ""system.*board.*fail""; BIOS POST日志"
主板,无,否,FATAL,FAIL,,Unrecoverablevideocontrollerfailure,有,显示输出异常,带外,15分,不可恢复的视频控制器故障（数据中心卡通常无显示输出）,换件；若为计算节点可忽略,是,P1,是,,"ipmitool sel list | grep -i ""video.*fail""; lspci | grep -i vga"
主板,无,否,FATAL,FAIL,,Uncorrectablemachinecheckexception,有,系统宕机,带外,15分,不可纠正的MCE，系统级硬件故障,换件；分析mcelog/rasdaemon日志,是,P0,是,,"mcelog --client; ras-mc-ctl --errors; ipmitool sel list | grep -i ""mce"""
主板,无,否,FATAL,FAIL,,TransitiontoNonrecoverablefromlesssever,有,系统宕机风险,带外,15分,检测到主板故障，状态从轻微升级为不可恢复,关注；立即分析根因，必要时停机保护,是,P0,是,,"ipmitool sel list | grep -i ""transition.*nonrecoverable""; 监控SEL事件序列"
主板,无,否,WARN,WARN,,TransitiontoNoncriticalfrommoresevere,无,无,带外,15分,状态从严重降级为非临界，故障恢复过程,关注；确认系统是否完全恢复,否,P2,是,,"ipmitool sel list | grep -i ""transition.*noncritical""; 监控SEL事件序列"
主板,无,否,WARN,WARN,,SystemFirmwareError,有,系统稳定性风险,带外,15分,系统固件错误，BIOS/BMC固件异常,关注；升级固件/联系厂商,是,P1,是,,"ipmitool sel list | grep -i ""firmware.*error""; ipmitool mc info; BIOS版本"
主板,无,否,WARN,WARN,,NMI/Diag Interrupt,无,系统调试中断,带外,15分,中断错误，NMI调试中断触发,关注；确认是否为人为调试触发,是,P2,是,,"dmesg | grep -i ""nmi""; ipmitool sel list | grep -i ""nmi"""
主板,无,否,WARN,WARN,,TransitiontoDegraded,无,性能降级风险,带外,15分,设备降级，部分功能不可用,关注；分析降级原因，计划修复,是,P1,是,,"ipmitool sel list | grep -i ""degraded""; ipmitool sensor"
主板,无,否,WARN,WARN,,BusCorrectableerror,无,系统稳定性风险,带外,15分,BUS 可纠正错误，总线CE累积可能升级为UE,无需处理 关注；监控CE增长趋势,是,P2,是,,"ipmitool sel list | grep -i ""bus.*correctable""; ras-mc-ctl --errors"
主板,无,否,WARN,WARN,,FRUfailure,无,FRU信息异常,带外,15分,BMC FRU故障，资产信息读取异常,关注；重写FRU/更换主板,否,P2,是,,"ipmitool fru print; ipmitool sel list | grep -i ""fru.*fail"""
主板,无,否,FATAL,FAIL,,TransitiontoCriticalfromlesssever,有,系统宕机风险,带外,15分,检测到主板故障，状态从轻微升级为临界,关注；立即分析根因，必要时停机保护,是,P0,是,,"ipmitool sel list | grep -i ""transition.*critical""; 监控SEL事件序列"
硬盘背板,无,否,WARN,WARN,,DriveFault,无,硬盘通信风险,带外,15分,硬盘驱动错误（电信号，散热），背板异常,关注；检查背板供电/信号/散热；必要时换件,否,P1,是,,"ipmitool sel list | grep -i ""drive.*fault""; lsscsi; dmesg | grep -i ""backplane"""
其他,无,否,FATAL,FAIL,,DeviceFault,无,设备功能异常,带外,15分,通用设备故障告警,换件；分析具体设备日志,是,P0,是,,"ipmitool sel list | grep -i ""device.*fault""; 根据设备类型进一步排查"
其他,无,否,FATAL,FAIL,,DeviceAbsent,无,设备缺失,带外,15分,设备不在位，资产缺失,换件；检查设备插槽/连接,是,P0,是,,"ipmitool sel list | grep -i ""device.*absent""; lshw; dmidecode"
其他,无,否,FATAL,FAIL,,ConfigError,无,配置异常,带外,15分,配置错误，设备无法正常工作,换件/重配；检查BIOS/BMC/OS配置,是,P1,是,,"ipmitool sel list | grep -i ""config.*error""; BIOS/BMC配置界面"
其他,无,否,FATAL,FAIL,,InCriticalArray,无,阵列降级风险,带外,15分,RAID阵列处于Critical状态，再掉盘将丢失数据,换件；立即重建阵列,是,P0,是,,"MegaCli -LDInfo -Lall -aAll; storcli /c0 show; ipmitool sel list | grep -i ""critical.*array"""
其他,无,否,FATAL,FAIL,,InFailedArray,无,阵列失效,带外,15分,RAID阵列Failed，数据不可访问,换件；尝试恢复阵列/从备份恢复数据,是,P0,是,,"MegaCli -LDInfo -Lall -aAll; storcli /c0 show; ipmitool sel list | grep -i ""failed.*array"""
其他,无,否,FATAL,FAIL,,Installationfailed,无,安装失败,带外,15分,设备安装/初始化失败,换件；检查安装流程/兼容性,是,P1,是,,"ipmitool sel list | grep -i ""install.*fail""; 安装日志"
其他,无,否,FATAL,FAIL,,InstallError,无,安装异常,带外,15分,安装过程报错，配置/兼容性问题,换件/重配；检查安装文档/日志,是,P1,是,,"ipmitool sel list | grep -i ""install.*error""; 安装日志"
其他,无,否,FATAL,FAIL,,Predictivefailure,无,设备故障预警,带外,15分,预测性故障告警，设备即将失效,换件；提前准备备件，计划更换,是,P1,是,,"ipmitool sel list | grep -i ""predictive""; smartctl -H /dev/sdx"
其他,无,否,FATAL,FAIL,,SystemFirmwareError,无,固件异常,带外,15分,系统固件错误，BMC/BIOS/CPLD异常,换件/升级；联系厂商支持,是,P1,是,,"ipmitool sel list | grep -i ""firmware.*error""; ipmitool mc info; BIOS版本"
其他,无,否,WARN,WARN,,AClost,无,供电异常,带外,15分,AC输入丢失，电源告警,关注；检查机房供电/PDU/UPS,否,P1,是,,"ipmitool sensor | grep -i ""psu.*ac""; ipmitool sel list | grep -i ""ac.*lost"""
其他,无,否,WARN,WARN,,NMIDiagInterrupt,无,调试中断,带外,15分,NMI调试中断，系统调试触发,关注；确认是否为人为调试,否,P2,是,,"dmesg | grep -i ""nmi""; ipmitool sel list | grep -i ""nmi"""
其他,无,否,WARN,WARN,,TransitiontoNonrecoverable,无,设备失效风险,带外,15分,设备状态升级为不可恢复，功能丧失,关注；立即分析根因，计划更换,否,P1,是,,"ipmitool sel list | grep -i ""transition.*nonrecoverable""; 监控设备状态"
其他,无,否,WARN,WARN,,TransitiontoOffLine,无,设备离线,带外,15分,设备离线，管理通道中断,关注；检查设备供电/网络/重插拔,否,P1,是,,"ipmitool sel list | grep -i ""offline""; ping "<bmc_ip>; ipmitool -H <bmc_ip> mc info
其他,无,否,WARN,WARN,,UpperNonrecoverablegoinghigh,无,超限风险,带外,15分,传感器值超过不可恢复高阈值,关注；检查传感器/环境/设备状态,否,P1,是,,"ipmitool sensor | grep -i ""nonrecoverable.*high""; 监控传感器历史曲线"
其他,无,否,WARN,WARN,,UpperNonrecoverablegoinglow,无,超限风险,带外,15分,传感器值超过不可恢复低阈值,关注；检查传感器/环境/设备状态,否,P1,是,,"ipmitool sensor | grep -i ""nonrecoverable.*low""; 监控传感器历史曲线"
其他,无,否,FATAL,FAIL,CPU处理PcieCE耗时异常,CEErrorFFDC,是,系统稳定性风险,带外,24小时,pcie设备CE错误累积，存在硬件隐患,报修，分析FFDC日志定位故障部件,是,P2,是,暂无发现此故障历史带外记录,"ipmitool sel list | grep -i pcie; dmesg | grep -i ""aer|pcie""; FFDC日志分析"
监控插件,无,否,WARN / ERROR,WARN / ERROR,HAS的GPU监控插件运行超时,GPUTimeOut*,无,无,带内,20s,无影响。可能是GPU驱动故障导致，联系@张文普 确认,关注；检查驱动/插件配置/重启插件,否,P2,是,,"ps aux | grep has; systemctl status has-gpu; dmesg | grep -i ""has.*timeout"""
监控插件,无,否,WARN,WARN,HAS的NIC监控插件运行超时,NICTimeOut*,无,无,带内,20s,无影响,关注；检查驱动/插件配置/重启插件,否,P2,是,,"ps aux | grep has; systemctl status has-nic; dmesg | grep -i ""has.*timeout"""